coin,trading,isLegalMoney,trade_fee,trade_symbol,profit,gained,times_it_sold,coin_status,initial_buy_price,initial_buy_cost,updated_price,out_price,estimated_cost,rebought_at,rebuy_cost
DOTUP,True,False,"[{'symbol': 'DOTUPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DOTUPUSDT,-4.968499999999999,0.19407599999999903,9,rebought,11.766,0.011766,6.775,0.006775000000000001,11.7435,11.725,0.011725
ATA,True,False,"[{'symbol': 'ATAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ATAUSDT,-0.2722686999999999,0.010347799999999907,1,rebought,1.2197,0.0012197,0.9493,0.0009493,1.2215687,1.2194,0.0012194
NMR,True,False,"[{'symbol': 'NMRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NMRUSDT,-6.727080000000001,0.0,0,initialized,46.86,0.04686,40.22,0.04022,46.94708,,
MKR,True,False,"[{'symbol': 'MKRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MKRUSDT,-435.308,1.2550000000001091,1,rebought,2869.0,2.869,2439.0,2.439,2874.308,2869.0,2.869
DODO,True,False,"[{'symbol': 'DODOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DODOUSDT,-0.18566899999999986,0.012963999999999976,1,rebought,1.51,0.00151,1.243,0.0012430000000000002,1.428669,1.426,0.001426
LIT,True,False,"[{'symbol': 'LITUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LITUSDT,-0.8749529999999996,0.021313000000001026,2,rebought,4.412,0.004412,3.543,0.003543,4.417953,4.41,0.00441
ICP,True,False,"[{'symbol': 'ICPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ICPUSDT,-12.0445,0.15378999999999365,7,rebought,58.24,0.05824,46.28,0.04628,58.3245,58.22,0.05822
ZEC,True,False,"[{'symbol': 'ZECUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ZECUSDT,-24.05720000000001,0.03740000000004784,2,rebought,140.5,0.1405,116.7,0.11670000000000001,140.7572,140.5,0.1405
ATM,True,False,"[{'symbol': 'ATMUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ATMUSDT,-1.03857,0.09688999999999837,3,rebought,15.49,0.01549,13.78,0.013779999999999999,14.81857,14.79,0.01479
ICX,True,False,"[{'symbol': 'ICXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ICXUSDT,-0.38341400000000014,0.020379999999999843,2,rebought,1.898,0.001898,1.517,0.001517,1.900414,1.897,0.001897
ZEN,True,False,"[{'symbol': 'ZENUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ZENUSDT,-17.402309999999986,0.29123999999998773,5,rebought,94.79,0.09479,77.54,0.07754000000000001,94.94230999999999,94.77,0.09477
DOGE,True,False,"[{'symbol': 'DOGEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DOGEUSDT,-0.0395433,0.0,0,initialized,0.2412,0.0002412,0.2021,0.0002021,0.2416433,,
DUSK,True,False,"[{'symbol': 'DUSKUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",DUSKUSDT,-0.020395700000000017,0.0,0,initialized,0.1579,0.0001579,0.1378,0.00013780000000000002,0.15819570000000002,,
ALPHA,True,False,"[{'symbol': 'ALPHAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ALPHAUSDT,-0.2284733000000001,0.0,0,initialized,1.0999,0.0010999,0.8734,0.0008734,1.1018733,,
SXP,True,False,"[{'symbol': 'SXPUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SXPUSDT,-0.518758,0.010711999999999833,1,rebought,2.636,0.002636,2.122,0.0021219999999999998,2.640758,2.636,0.0026360000000000003
HBAR,True,False,"[{'symbol': 'HBARUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",HBARUSDT,-0.10064450000000003,0.0,0,initialized,0.4222,0.0004222,0.3223,0.0003223,0.4229445,,
RVN,True,False,"[{'symbol': 'RVNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",RVNUSDT,-0.02057681,0.0,0,initialized,0.11359,0.00011359,0.09322,9.322e-05,0.11379681,,
MLN,True,False,"[{'symbol': 'MLNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MLNUSDT,-17.126299999999986,1.5678999999999803,3,rebought,121.7,0.1217,104.7,0.1047,121.82629999999999,121.6,0.1216
NANO,True,False,"[{'symbol': 'NANOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",NANOUSDT,-0.5418479999999999,0.05995899999999921,4,rebought,5.618,0.005618,4.658,0.004658000000000001,5.199848,5.19,0.00519
CTSI,True,False,"[{'symbol': 'CTSIUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",CTSIUSDT,-0.06536180000000003,0.032026099999999724,3,rebought,0.673,0.000673,0.5488,0.0005488,0.6141618,0.613,0.000613
KAVA,True,False,"[{'symbol': 'KAVAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",KAVAUSDT,-1.2152920000000007,0.0,0,initialized,6.248,0.006248,5.044,0.005044,6.259292,,
C98,True,False,"[{'symbol': 'C98USDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",C98USDT,-0.9444050000000006,0.0,0,initialized,4.171,0.004171,3.234,0.003234,4.178405000000001,,
PSG,True,False,"[{'symbol': 'PSGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",PSGUSDT,-4.5654900000000005,0.07982000000000511,2,rebought,30.0,0.03,25.49,0.02549,30.05549,30.0,0.03
VIDT,True,False,"[{'symbol': 'VIDTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",VIDTUSDT,-0.17922749999999998,0.010078200000000037,1,rebought,0.9549,0.0009549,0.775,0.0007750000000000001,0.9542275,0.9525,0.0009525
AVA,True,False,"[{'symbol': 'AVAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",AVAUSDT,-0.6494590000000002,0.0,0,initialized,3.551,0.003551,2.908,0.002908,3.557459,,
COCOS,True,False,"[{'symbol': 'COCOSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",COCOSUSDT,-0.13141009999999997,0.0,0,initialized,0.7201,0.0007201,0.59,0.00059,0.7214100999999999,,
STRAX,True,False,"[{'symbol': 'STRAXUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",STRAXUSDT,-0.542564,0.02675499999999964,2,rebought,2.552,0.002552,2.013,0.002013,2.555564,2.551,0.0025510000000000003
