coin,initial_buy_price,initial_buy_cost,rebought_at,rebuy_cost,gained,total_initial_buy_cost,total_rebuy_cost
ATOMUSDT,39.52,0.03952,39.46,0.03946,0.010869999999997049,39.559520000000006,39.49946
ZECUSDT,140.5,0.1405,140.5,0.1405,0.03740000000004784,140.6405,140.6405
BANDUSDT,9.3,0.0093,9.286,0.009285999999999999,0.010370999999999242,9.3093,9.295285999999999
STRAXUSDT,2.552,0.002552,2.552,0.002552,0.012877999999999723,2.554552,2.554552
ANTUSDT,6.494,0.006494,6.488,0.006488000000000001,0.014984000000000108,6.500494,6.4944880000000005
SOLUSDT,161.66,0.16166,161.66,0.16166,0.2555099999999868,161.82166,161.82166
FORTHUSDT,15.43,0.01543,15.43,0.01543,0.039070000000000604,15.44543,15.44543
ASRUSDT,8.326,0.008326,8.3,0.0083,0.0859899999999989,8.334326,8.308300000000001
SNXUSDT,12.557,0.012557,12.557,0.012557,0.08809699999999587,12.569557,12.569557
DEXEUSDT,13.58,0.01358,13.57,0.01357,0.0655600000000014,13.59358,13.58357
ANTUSDT,6.494,0.006494,6.494,0.006494,0.046962999999999866,6.500494,6.500494
DEXEUSDT,13.58,0.01358,13.58,0.01358,0.09836000000000134,13.59358,13.59358
ATOMUSDT,39.52,0.03952,39.51,0.039509999999999997,0.11176999999999992,39.559520000000006,39.54951
BONDUSDT,25.61,0.02561,25.59,0.02559,0.23630999999999958,25.63561,25.61559
PSGUSDT,30.0,0.03,30.0,0.03,0.07982000000000511,30.03,30.03
CLVUSDT,1.342,0.001342,1.342,0.001342,0.03790400000000016,1.343342,1.343342
ATOMUSDT,39.52,0.03952,39.52,0.039520000000000007,0.12266000000000332,39.559520000000006,39.559520000000006
DEXEUSDT,13.58,0.01358,13.58,0.01358,0.11115999999999993,13.59358,13.59358
BANDUSDT,9.3,0.0093,9.289,0.009289,0.03375699999999959,9.3093,9.298289
LITUSDT,4.412,0.004412,4.412,0.004412,0.01115600000000061,4.416412,4.416412
SNXUSDT,12.557,0.012557,12.555,0.012555,0.09894699999999546,12.569557,12.567555
BONDUSDT,25.61,0.02561,25.51,0.02551,0.39491999999999905,25.63561,25.535510000000002
ATAUSDT,1.2197,0.0012197,1.2194,0.0012194,0.010347799999999907,1.2209197,1.2206194000000001
NEOUSDT,49.62,0.04962,49.6,0.049600000000000005,0.010649999999998272,49.669619999999995,49.6496
LPTUSDT,18.84,0.01884,18.83,0.01883,0.06923999999999708,18.85884,18.84883
ASRUSDT,8.326,0.008326,8.307,0.008307,0.11434499999999836,8.334326,8.315307
XTZUSDT,6.421,0.006421,6.419,0.006418999999999999,0.05154100000000028,6.427421,6.425419
BONDUSDT,25.61,0.02561,25.55,0.02555,0.5137299999999989,25.63561,25.57555
TRBUSDT,59.35,0.05935,59.34,0.059340000000000004,0.03114999999999668,59.40935,59.39934
ACMUSDT,10.586,0.010586,10.571,0.010571,0.015790999999998334,10.596586,10.581571
BONDUSDT,25.61,0.02561,25.53,0.02553,0.5525400000000005,25.63561,25.55553
TKOUSDT,2.379,0.002379,2.378,0.0023780000000000003,0.01622099999999982,2.381379,2.3803780000000003
ACMUSDT,10.586,0.010586,10.586,0.010586,0.04359999999999786,10.596586,10.596586
NEOUSDT,49.62,0.04962,49.62,0.04962,0.03132999999999697,49.669619999999995,49.669619999999995
LITUSDT,4.412,0.004412,4.41,0.00441,0.021313000000001026,4.416412,4.41441
FTTUSDT,63.13,0.06313,63.12,0.06312,0.03721000000000174,63.193130000000004,63.183119999999995
BANDUSDT,9.3,0.0093,9.298,0.009298,0.048145999999999134,9.3093,9.307298
MIRUSDT,3.715,0.003715,3.715,0.003715,0.026101000000000596,3.718715,3.718715
DEXEUSDT,13.58,0.01358,13.58,0.01358,0.12395999999999852,13.59358,13.59358
WINGUSDT,20.74,0.0207399999999999,20.73,0.020730000000000002,0.11543999999999954,20.76074,20.75073
STRAXUSDT,2.552,0.002552,2.551,0.0025510000000000003,0.02675499999999964,2.554552,2.553551
OGNUSDT,1.0604,0.0010604,1.0599,0.0010599000000000001,0.02143929999999994,1.0614604,1.0609599
BANDUSDT,9.3,0.0093,9.3,0.009300000000000001,0.06151799999999952,9.3093,9.3093
